ds,y
2024-01-01,49.9
2024-01-02,56.4
2024-01-03,61.4
2024-01-04,66.9
2024-01-05,81.7
2024-01-06,82.0
2024-01-07,93.3
2024-01-08,53.8
2024-01-09,56.7
2024-01-10,63.2
2024-01-11,57.5
2024-01-12,82.9
2024-01-13,87.6
2024-01-14,75.1
2024-01-15,41.6
2024-01-16,59.1
2024-01-17,56.8
2024-01-18,65.2
2024-01-19,83.4
2024-01-20,80.8
2024-01-21,98.6
2024-01-22,53.9
2024-01-23,66.2
2024-01-24,57.8
2024-01-25,63.6
2024-01-26,93.0
2024-01-27,86.0
2024-01-28,95.7
2024-01-29,55.4
2024-01-30,67.7
2024-01-31,66.4
2024-02-01,81.7
2024-02-02,96.1
2024-02-03,90.3
2024-02-04,102.2
2024-02-05,55.5
2024-02-06,74.6
2024-02-07,62.1
2024-02-08,66.5
2024-02-09,101.2
2024-02-10,105.0
2024-02-11,102.1
2024-02-12,66.0
2024-02-13,75.4
2024-02-14,68.9
2024-02-15,74.0
2024-02-16,101.1
2024-02-17,110.7
2024-02-18,107.0
2024-02-19,59.8
2024-02-20,82.9
2024-02-21,79.1
2024-02-22,77.9
2024-02-23,111.1
2024-02-24,114.1
2024-02-25,114.0
2024-02-26,68.9
2024-02-27,82.5
2024-02-28,86.8
2024-02-29,91.1
2024-03-01,107.9
2024-03-02,110.1
2024-03-03,105.0
2024-03-04,69.8
2024-03-05,92.3
2024-03-06,96.0
2024-03-07,87.8
2024-03-08,119.6
2024-03-09,116.1
2024-03-10,110.4
2024-03-11,81.8
2024-03-12,99.2
2024-03-13,90.1
2024-03-14,100.0
2024-03-15,100.2
2024-03-16,121.1
2024-03-17,117.0
2024-03-18,80.0
2024-03-19,92.6
2024-03-20,80.3
2024-03-21,91.2
2024-03-22,119.8
2024-03-23,126.8
2024-03-24,115.0
2024-03-25,78.4
2024-03-26,90.5
2024-03-27,99.1
2024-03-28,95.7
2024-03-29,115.7
2024-03-30,122.1
2024-03-31,119.7
2024-04-01,90.1
2024-04-02,90.1
2024-04-03,92.5
2024-04-04,92.2
2024-04-05,110.8
2024-04-06,121.4
2024-04-07,121.2
2024-04-08,84.7
2024-04-09,93.3
2024-04-10,86.2
2024-04-11,92.2
2024-04-12,117.7
2024-04-13,114.9
2024-04-14,118.7
2024-04-15,87.1
2024-04-16,105.9
2024-04-17,95.6
2024-04-18,96.1
2024-04-19,119.0
2024-04-20,107.9
2024-04-21,119.2
2024-04-22,84.6
2024-04-23,108.9
2024-04-24,92.9
2024-04-25,95.8
2024-04-26,118.7
2024-04-27,111.7
2024-04-28,125.5
2024-04-29,88.0
2024-04-30,98.2
2024-05-01,87.8
2024-05-02,101.6
2024-05-03,109.6
2024-05-04,121.4
2024-05-05,130.9
2024-05-06,76.7
2024-05-07,89.1
2024-05-08,93.0
2024-05-09,89.3
2024-05-10,107.8
2024-05-11,117.4
2024-05-12,110.5
2024-05-13,84.6
2024-05-14,86.1
2024-05-15,100.8
2024-05-16,86.7
2024-05-17,114.3
2024-05-18,121.0
2024-05-19,108.7
2024-05-20,82.3
2024-05-21,98.7
2024-05-22,81.1
2024-05-23,91.7
2024-05-24,117.1
2024-05-25,120.1
2024-05-26,107.9
2024-05-27,72.3
2024-05-28,93.3
2024-05-29,91.9
2024-05-30,91.6
2024-05-31,117.1
2024-06-01,110.9
2024-06-02,116.3
2024-06-03,81.6
2024-06-04,85.5
2024-06-05,101.0
2024-06-06,92.6
2024-06-07,107.6
2024-06-08,118.7
2024-06-09,108.9
2024-06-10,84.5
2024-06-11,96.7
2024-06-12,84.9
2024-06-13,95.6
2024-06-14,117.4
2024-06-15,119.9
2024-06-16,126.4
2024-06-17,78.6
2024-06-18,85.6
2024-06-19,84.9
2024-06-20,85.4
2024-06-21,114.9
2024-06-22,117.5
2024-06-23,117.2
2024-06-24,85.7
2024-06-25,90.9
2024-06-26,99.7
2024-06-27,89.5
2024-06-28,132.5
2024-06-29,120.1
2024-06-30,111.4
2024-07-01,75.2
2024-07-02,94.7
2024-07-03,90.6
2024-07-04,96.4
2024-07-05,120.2
2024-07-06,117.1
2024-07-07,112.6
2024-07-08,73.8
2024-07-09,90.4
2024-07-10,98.4
2024-07-11,94.8
2024-07-12,111.2
2024-07-13,120.0
2024-07-14,121.4
2024-07-15,79.0
2024-07-16,95.5
2024-07-17,95.1
2024-07-18,88.1
2024-07-19,122.4
2024-07-20,123.8
2024-07-21,127.2
2024-07-22,92.2
2024-07-23,87.8
2024-07-24,90.7
2024-07-25,99.6
2024-07-26,124.8
2024-07-27,125.1
2024-07-28,145.3
2024-07-29,90.8
2024-07-30,104.4
2024-07-31,103.5
