date,item,quantity_used
2024-01-01,Milk (litres),49.1
2024-01-02,Milk (litres),42.6
2024-01-03,Milk (litres),44.1
2024-01-04,Milk (litres),45.2
2024-01-05,Milk (litres),49.6
2024-01-06,Milk (litres),52.0
2024-01-07,Milk (litres),52.0
2024-01-08,Milk (litres),38.7
2024-01-09,Milk (litres),47.0
2024-01-10,Milk (litres),45.8
2024-01-11,Milk (litres),42.1
2024-01-12,Milk (litres),51.4
2024-01-13,Milk (litres),53.5
2024-01-14,Milk (litres),51.2
2024-01-15,Milk (litres),43.2
2024-01-16,Milk (litres),39.6
2024-01-17,Milk (litres),45.6
2024-01-18,Milk (litres),44.3
2024-01-19,Milk (litres),52.7
2024-01-20,Milk (litres),47.3
2024-01-21,Milk (litres),56.8
2024-01-22,Milk (litres),44.3
2024-01-23,Milk (litres),42.6
2024-01-24,Milk (litres),49.9
2024-01-25,Milk (litres),43.6
2024-01-26,Milk (litres),47.4
2024-01-27,Milk (litres),50.5
2024-01-28,Milk (litres),44.8
2024-01-29,Milk (litres),46.8
2024-01-30,Milk (litres),42.4
2024-01-31,Milk (litres),41.4
2024-02-01,Milk (litres),46.8
2024-02-02,Milk (litres),46.6
2024-02-03,Milk (litres),53.1
2024-02-04,Milk (litres),45.3
2024-02-05,Milk (litres),41.5
2024-02-06,Milk (litres),39.8
2024-02-07,Milk (litres),47.8
2024-02-08,Milk (litres),48.6
2024-02-09,Milk (litres),50.3
2024-02-10,Milk (litres),53.8
2024-02-11,Milk (litres),50.7
2024-02-12,Milk (litres),44.9
2024-02-13,Milk (litres),40.9
2024-02-14,Milk (litres),38.0
2024-02-15,Milk (litres),37.7
2024-02-16,Milk (litres),52.2
2024-02-17,Milk (litres),57.7
2024-02-18,Milk (litres),51.7
2024-02-19,Milk (litres),41.3
2024-02-20,Milk (litres),48.6
2024-02-21,Milk (litres),43.5
2024-02-22,Milk (litres),43.1
2024-02-23,Milk (litres),51.5
2024-02-24,Milk (litres),50.3
2024-02-25,Milk (litres),49.7
2024-02-26,Milk (litres),38.3
2024-02-27,Milk (litres),44.0
2024-02-28,Milk (litres),42.2
2024-02-29,Milk (litres),46.0
2024-03-01,Milk (litres),49.3
2024-03-02,Milk (litres),44.6
2024-03-03,Milk (litres),50.0
2024-03-04,Milk (litres),47.3
2024-03-05,Milk (litres),41.0
2024-03-06,Milk (litres),39.4
2024-03-07,Milk (litres),38.5
2024-03-08,Milk (litres),46.8
2024-03-09,Milk (litres),49.0
2024-03-10,Milk (litres),46.3
2024-03-11,Milk (litres),46.3
2024-03-12,Milk (litres),40.9
2024-03-13,Milk (litres),42.0
2024-03-14,Milk (litres),46.0
2024-03-15,Milk (litres),54.1
2024-03-16,Milk (litres),48.9
2024-03-17,Milk (litres),50.5
2024-03-18,Milk (litres),43.6
2024-03-19,Milk (litres),40.8
2024-03-20,Milk (litres),36.0
2024-03-21,Milk (litres),43.2
2024-03-22,Milk (litres),51.9
2024-03-23,Milk (litres),50.4
2024-03-24,Milk (litres),46.3
2024-03-25,Milk (litres),40.4
2024-03-26,Milk (litres),39.2
2024-03-27,Milk (litres),40.0
2024-03-28,Milk (litres),44.7
2024-03-29,Milk (litres),53.4
2024-03-30,Milk (litres),50.7
2024-03-31,Milk (litres),50.3
2024-04-01,Milk (litres),42.6
2024-04-02,Milk (litres),40.5
2024-04-03,Milk (litres),40.3
2024-04-04,Milk (litres),38.4
2024-04-05,Milk (litres),48.2
2024-04-06,Milk (litres),55.1
2024-04-07,Milk (litres),50.9
2024-04-08,Milk (litres),39.2
2024-04-09,Milk (litres),38.7
2024-04-10,Milk (litres),37.5
2024-04-11,Milk (litres),41.1
2024-04-12,Milk (litres),49.1
2024-04-13,Milk (litres),43.6
2024-04-14,Milk (litres),49.3
2024-04-15,Milk (litres),38.1
2024-04-16,Milk (litres),44.0
2024-04-17,Milk (litres),40.2
2024-04-18,Milk (litres),44.8
2024-04-19,Milk (litres),46.2
2024-04-20,Milk (litres),46.7
2024-04-21,Milk (litres),48.4
2024-04-22,Milk (litres),42.6
2024-04-23,Milk (litres),41.1
2024-04-24,Milk (litres),35.6
2024-04-25,Milk (litres),39.8
2024-04-26,Milk (litres),47.3
2024-04-27,Milk (litres),45.9
2024-04-28,Milk (litres),45.2
2024-04-29,Milk (litres),44.3
2024-04-30,Milk (litres),37.8
2024-05-01,Milk (litres),36.4
2024-05-02,Milk (litres),40.8
2024-05-03,Milk (litres),47.3
2024-05-04,Milk (litres),46.6
2024-05-05,Milk (litres),49.1
2024-05-06,Milk (litres),40.2
2024-05-07,Milk (litres),39.8
2024-05-08,Milk (litres),41.6
2024-05-09,Milk (litres),39.5
2024-05-10,Milk (litres),44.7
2024-05-11,Milk (litres),45.5
2024-05-12,Milk (litres),44.9
2024-05-13,Milk (litres),39.1
2024-05-14,Milk (litres),35.2
