Date,Day,Holiday Name,Type
2026-01-01,Thursday,New Year's Day,Restricted
2026-01-03,Saturday,Hazarat Ali's Birthday,Restricted
2026-01-14,Wednesday,Pongal / Makar Sankranti,Restricted
2026-01-23,Friday,Vasant Panchami,Restricted
2026-01-26,Monday,Republic Day,Gazetted
2026-02-01,Sunday,Guru Ravidas Jayanti,Restricted
2026-02-12,Thursday,Maharishi Dayanand Saraswati Jayanti,Restricted
2026-02-15,Sunday,Maha Shivaratri,Restricted
2026-02-19,Thursday,Shivaji Jayanti,Restricted
2026-03-03,Tuesday,Holika Dahan,Restricted
2026-03-04,Wednesday,Holi,Gazetted
2026-03-19,Thursday,Ugadi / Gudi Padwa,Restricted
2026-03-20,Friday,Jumat-ul-Vida,Restricted
2026-03-21,Saturday,Id-ul-Fitr (Tentative),Gazetted
2026-03-26,Thursday,Rama Navami,Gazetted
2026-03-31,Tuesday,Mahavir Jayanti,Gazetted
2026-04-03,Friday,Good Friday,Gazetted
2026-04-05,Sunday,Easter Sunday,Restricted
2026-04-14,Tuesday,Vaisakhi / Mesadi,Restricted
2026-04-15,Wednesday,Bahag Bihu,Restricted
2026-05-01,Friday,Buddha Purnima,Gazetted
2026-05-09,Saturday,Rabindranath Tagore Jayanti,Restricted
2026-05-27,Wednesday,Id-ul-Zuha / Bakrid (Tentative),Gazetted
2026-06-26,Friday,Muharram (Tentative),Gazetted
2026-07-16,Thursday,Rath Yatra,Restricted
2026-08-15,Saturday,Independence Day,Gazetted
2026-08-26,Wednesday,Id-e-Milad / Milad-un-Nabi (Tentative),Gazetted
2026-08-26,Wednesday,Onam,Restricted
2026-08-28,Friday,Raksha Bandhan,Restricted
2026-09-04,Friday,Janmashtami,Gazetted
2026-09-14,Monday,Ganesh Chaturthi,Restricted
2026-10-02,Friday,Mahatma Gandhi Jayanti,Gazetted
2026-10-18,Sunday,Maha Saptami,Restricted
2026-10-19,Monday,Maha Ashtami,Restricted
2026-10-20,Tuesday,Dussehra,Gazetted
2026-10-26,Monday,Maharishi Valmiki Jayanti,Restricted
2026-10-29,Thursday,Karva Chauth,Restricted
2026-11-08,Sunday,Diwali (Deepavali),Gazetted
2026-11-09,Monday,Govardhan Puja,Restricted
2026-11-11,Wednesday,Bhai Dooj,Restricted
2026-11-15,Sunday,Chhath Puja,Restricted
2026-11-24,Tuesday,Guru Nanak Jayanti,Gazetted
2026-11-24,Tuesday,Guru Tegh Bahadur Martyrdom Day,Restricted
2026-12-23,Wednesday,Hazarat Ali's Birthday,Restricted
2026-12-24,Thursday,Christmas Eve,Restricted
2026-12-25,Friday,Christmas Day,Gazetted
