date,district,state,temp_min_c,temp_max_c,humidity_pct,rainfall_mm,wind_speed_kmph,pressure_hpa,weather_condition
2026-01-01,Gautam Buddha Nagar,Uttar Pradesh,0.3,13.4,54.2,0.0,5.9,1018.3,Clear
2026-01-02,Gautam Buddha Nagar,Uttar Pradesh,1.4,12.1,55.8,0.0,3.8,1014.5,Clear
2026-01-03,Gautam Buddha Nagar,Uttar Pradesh,1.0,13.9,35.0,0.0,7.2,1018.3,Clear
2026-01-04,Gautam Buddha Nagar,Uttar Pradesh,1.2,15.9,64.2,0.0,9.7,1017.2,Clear
2026-01-05,Gautam Buddha Nagar,Uttar Pradesh,-0.4,12.1,58.5,0.0,11.4,1016.3,Clear
2026-01-06,Gautam Buddha Nagar,Uttar Pradesh,1.1,12.1,65.0,0.0,6.8,1016.9,Clear
2026-01-07,Gautam Buddha Nagar,Uttar Pradesh,1.9,16.2,26.0,0.0,7.3,1018.9,Clear
2026-01-08,Gautam Buddha Nagar,Uttar Pradesh,3.6,14.5,75.9,0.0,5.3,1020.7,Clear
2026-01-09,Gautam Buddha Nagar,Uttar Pradesh,2.8,11.9,53.6,0.0,8.9,1019.1,Cold
2026-01-10,Gautam Buddha Nagar,Uttar Pradesh,5.0,14.2,66.1,0.0,5.6,1017.7,Clear
2026-01-11,Gautam Buddha Nagar,Uttar Pradesh,-0.3,12.1,44.6,0.0,11.3,1019.2,Clear
2026-01-12,Gautam Buddha Nagar,Uttar Pradesh,2.7,12.2,61.1,0.0,1.9,1017.8,Clear
2026-01-13,Gautam Buddha Nagar,Uttar Pradesh,1.5,13.8,44.5,0.0,7.6,1017.4,Clear
2026-01-14,Gautam Buddha Nagar,Uttar Pradesh,5.1,9.2,48.8,0.0,10.2,1016.7,Cold
2026-01-15,Gautam Buddha Nagar,Uttar Pradesh,-0.2,9.7,74.1,0.0,9.7,1015.8,Cold
2026-01-16,Gautam Buddha Nagar,Uttar Pradesh,-0.2,12.4,53.1,0.0,19.8,1017.8,Clear
2026-01-17,Gautam Buddha Nagar,Uttar Pradesh,0.3,11.5,57.2,0.0,10.4,1018.5,Cold
2026-01-18,Gautam Buddha Nagar,Uttar Pradesh,-2.4,14.6,63.7,0.0,5.0,1018.1,Clear
2026-01-19,Gautam Buddha Nagar,Uttar Pradesh,0.5,12.0,60.0,0.0,8.6,1017.6,Cold
2026-01-20,Gautam Buddha Nagar,Uttar Pradesh,0.1,11.0,56.5,0.0,1.9,1016.7,Cold
2026-01-21,Gautam Buddha Nagar,Uttar Pradesh,1.8,17.5,58.6,0.0,8.7,1019.0,Clear
2026-01-22,Gautam Buddha Nagar,Uttar Pradesh,2.3,13.9,79.0,0.0,5.7,1016.1,Clear
2026-01-23,Gautam Buddha Nagar,Uttar Pradesh,5.1,14.7,54.4,0.0,12.7,1019.2,Clear
2026-01-24,Gautam Buddha Nagar,Uttar Pradesh,3.5,11.5,57.0,0.0,6.8,1016.4,Cold
2026-01-25,Gautam Buddha Nagar,Uttar Pradesh,0.8,13.6,65.5,0.0,8.5,1016.7,Clear
2026-01-26,Gautam Buddha Nagar,Uttar Pradesh,0.3,15.2,66.1,0.0,6.5,1015.6,Clear
2026-01-27,Gautam Buddha Nagar,Uttar Pradesh,2.9,12.6,66.9,0.0,16.0,1017.0,Clear
2026-01-28,Gautam Buddha Nagar,Uttar Pradesh,-0.3,16.1,61.4,0.0,7.7,1019.1,Clear
2026-01-29,Gautam Buddha Nagar,Uttar Pradesh,5.5,14.1,43.6,0.0,16.3,1018.4,Clear
2026-01-30,Gautam Buddha Nagar,Uttar Pradesh,4.4,15.0,71.3,0.0,12.3,1019.0,Clear
2026-01-31,Gautam Buddha Nagar,Uttar Pradesh,1.6,14.5,43.5,0.0,10.9,1018.3,Clear
2026-02-01,Gautam Buddha Nagar,Uttar Pradesh,-0.6,20.0,58.0,0.0,10.5,1015.8,Clear
2026-02-02,Gautam Buddha Nagar,Uttar Pradesh,5.1,16.1,47.5,0.0,10.6,1016.8,Clear
2026-02-03,Gautam Buddha Nagar,Uttar Pradesh,2.5,14.0,54.4,0.0,1.3,1016.1,Clear
2026-02-04,Gautam Buddha Nagar,Uttar Pradesh,5.1,18.3,58.3,0.0,7.9,1019.2,Clear
2026-02-05,Gautam Buddha Nagar,Uttar Pradesh,0.1,14.0,58.2,0.0,12.4,1015.3,Clear
2026-02-06,Gautam Buddha Nagar,Uttar Pradesh,2.0,17.3,59.2,0.0,8.8,1018.4,Clear
