date,temperature,max_temperature,min_temperature,rainfall,humidity,wind_speed
2015-01-01,15.08,23.9,8.07,0.02,44.51,1.19
2015-01-02,15.76,21.34,11.84,3.9,59.67,1.16
2015-01-03,14.41,20.72,8.65,10.12,76.62,0.96
2015-01-04,13.53,21.5,8.12,0.0,62.98,2.2
2015-01-05,13.07,22.76,6.59,0.0,44.1,3.89
2015-01-06,13.18,22.39,6.79,0.0,53.13,2.32
2015-01-07,12.44,21.21,6.26,0.0,55.87,1.84
2015-01-08,12.37,21.56,5.4,0.0,46.51,2.06
2015-01-09,11.7,21.14,4.16,0.0,39.9,1.62
2015-01-10,11.06,21.41,3.7,0.0,39.1,2.1
2015-01-11,12.12,23.24,4.05,0.0,36.93,2.0
2015-01-12,12.38,23.75,4.22,0.0,36.56,1.4
2015-01-13,12.19,21.66,5.77,0.0,39.03,1.74
2015-01-14,11.4,18.59,6.95,1.91,54.93,1.63
2015-01-15,11.22,19.55,4.48,0.0,67.56,1.52
2015-01-16,12.44,21.28,5.15,0.0,63.7,1.4
2015-01-17,13.65,23.07,6.67,0.0,55.9,1.98
2015-01-18,13.31,22.65,5.81,0.0,49.93,1.91
2015-01-19,13.0,22.19,5.4,0.0,43.43,1.53
2015-01-20,12.11,20.73,6.31,0.0,41.27,1.12
2015-01-21,13.27,20.75,6.57,3.16,42.38,1.51
2015-01-22,12.51,17.75,8.77,8.36,77.98,1.5
2015-01-23,13.19,21.22,8.02,2.56,76.24,1.13
2015-01-24,13.47,21.91,7.21,0.0,65.8,1.64
2015-01-25,12.68,21.4,5.71,0.0,45.88,1.58
2015-01-26,12.54,18.94,8.32,3.26,62.71,0.82
2015-01-27,12.2,20.24,6.68,0.0,61.75,1.95
2015-01-28,10.65,19.39,3.91,0.0,49.46,1.93
2015-01-29,10.4,19.48,3.25,0.0,42.55,2.14
2015-01-30,11.27,20.93,3.67,0.0,39.83,2.63
2015-01-31,13.16,23.44,4.93,0.0,36.8,2.32
2015-02-01,15.43,22.99,8.46,0.0,36.56,1.26
2015-02-02,15.79,24.64,8.41,0.0,42.78,1.96
2015-02-03,15.43,24.27,10.38,0.85,54.67,2.17
2015-02-04,14.15,23.5,7.65,0.27,62.64,2.21
2015-02-05,13.58,23.98,5.91,0.0,48.36,1.91
2015-02-06,14.97,24.44,6.95,0.0,39.5,1.15
2015-02-07,17.1,25.35,9.1,0.03,41.55,1.08
2015-02-08,17.33,25.63,12.02,0.0,44.16,1.52
2015-02-09,16.05,25.79,8.59,0.01,48.01,1.9
2015-02-10,15.44,25.09,7.93,0.0,41.84,1.99
2015-02-11,15.63,24.56,8.34,0.0,39.12,1.56
2015-02-12,15.05,25.11,7.0,0.0,38.18,1.69
2015-02-13,16.75,26.8,7.21,0.0,31.5,2.19
2015-02-14,19.76,30.06,11.01,0.0,36.06,1.25
2015-02-15,20.34,28.85,12.35,0.0,36.57,1.14
2015-02-16,19.54,27.8,13.21,0.0,38.14,1.74
2015-02-17,19.98,28.07,11.5,0.0,44.14,0.99
2015-02-18,20.9,28.6,13.3,0.0,40.01,0.91
2015-02-19,21.93,29.97,14.03,0.02,38.16,1.45
2015-02-20,21.72,30.86,14.05,1.76,41.7,1.29
2015-02-21,21.76,30.78,14.16,0.0,38.26,2.36
2015-02-22,21.92,31.7,14.33,0.0,43.13,2.93
2015-02-23,21.29,27.64,14.98,0.0,41.13,1.33
2015-02-24,21.94,28.3,16.64,0.0,37.87,1.17
2015-02-25,21.87,30.09,14.51,0.47,36.4,2.25
2015-02-26,16.34,25.86,8.98,1.62,28.45,1.66
2015-02-27,16.5,27.23,7.74,0.1,26.4,1.47
2015-02-28,18.08,27.38,8.95,0.09,31.21,1.39
2015-03-01,16.35,19.81,13.44,27.24,83.57,4.11
2015-03-02,16.85,21.18,12.51,26.81,83.9,2.57
2015-03-03,16.16,23.5,10.93,1.41,64.28,1.47
2015-03-04,15.82,24.18,8.66,0.0,48.97,1.97
2015-03-05,17.74,26.78,10.2,0.0,40.01,1.41
2015-03-06,18.46,27.67,10.7,0.01,48.8,1.67
2015-03-07,20.17,28.18,12.13,0.81,49.87,1.28
2015-03-08,20.16,26.73,14.17,4.41,54.08,1.61
2015-03-09,16.15,25.17,9.29,2.32,47.22,2.41
2015-03-10,16.54,26.43,8.3,0.0,47.63,2.32
2015-03-11,18.59,28.65,9.57,0.0,36.23,1.79
2015-03-12,21.21,30.79,12.83,0.0,38.12,1.74
2015-03-13,21.59,28.81,15.22,0.23,49.15,1.22
2015-03-14,22.21,29.03,16.75,0.31,54.78,1.18
2015-03-15,18.91,24.5,15.03,6.41,72.64,3.31
2015-03-16,19.28,25.17,14.33,5.65,72.76,1.84
2015-03-17,20.14,27.8,12.82,0.0,58.38,2.51
2015-03-18,19.76,28.07,12.24,0.0,53.11,2.96
2015-03-19,20.42,29.55,11.32,0.0,43.09,1.85
2015-03-20,22.34,31.7,14.21,0.0,36.16,1.74
2015-03-21,23.63,32.78,15.89,0.0,38.75,1.78
2015-03-22,24.59,33.92,16.08,0.0,44.46,2.53
2015-03-23,25.01,34.34,17.84,0.0,42.03,2.26
2015-03-24,27.15,36.03,16.88,0.0,29.79,1.17
2015-03-25,27.91,36.34,21.63,0.0,30.21,0.9
2015-03-26,27.71,36.73,19.31,0.0,36.78,1.27
2015-03-27,27.68,36.88,20.55,0.0,35.96,1.93
2015-03-28,27.63,36.88,18.45,0.0,29.79,1.74
2015-03-29,24.35,30.64,18.32,5.23,40.5,2.16
2015-03-30,21.83,28.32,17.67,6.27,68.02,2.91
2015-03-31,24.69,31.89,16.72,0.01,57.66,1.49
2015-04-01,26.64,33.86,19.31,0.15,44.99,1.32
2015-04-02,27.81,35.98,20.84,0.07,40.13,1.31
2015-04-03,24.91,30.63,20.78,5.93,52.74,2.15
2015-04-04,21.05,25.46,17.35,16.39,72.93,1.17
2015-04-05,22.89,31.21,15.56,0.0,57.56,0.97
