date,total_sales,total_orders,total_items,average_order_value,data_missing,temperature,max_temperature,min_temperature,rainfall,humidity,wind_speed,is_holiday,holiday_name,year,month,day,weekday,week,quarter,day_of_year,is_weekend,is_month_start,is_month_end,month_sin,month_cos,weekday_sin,weekday_cos,time_index,lag_1,lag_7,lag_14,lag_30,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,is_rain,heavy_rain,is_hot,is_cold,season,days_after_holiday,days_before_holiday,is_festival_week,weekend_after_holiday
2015-01-31,2417.85,54,145,16.908041958041956,False,13.16,23.44,4.93,0.0,36.8,2.32,False,No Holiday,2015,1,31,5,5,1,31,1,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,30,2270.3,2289.25,2064.1,2713.85,2092.9785714285713,2174.128571428572,2245.8483333333334,299.16238742131065,0,0,0,1,Winter,5,34,0,0
2015-02-01,3189.2,87,191,16.96382978723404,False,15.43,22.99,8.46,0.0,36.56,1.26,False,No Holiday,2015,2,1,6,5,1,32,1,1,0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,31,2417.85,1617.55,1976.85,2731.9,2111.35,2199.3964285714287,2235.9816666666666,316.6610201250953,0,0,0,0,Winter,6,33,0,0
2015-02-02,2328.6,63,145,16.283916083916083,False,15.79,24.64,8.41,0.0,42.78,1.96,False,No Holiday,2015,2,2,0,6,1,33,0,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,32,3189.2,1884.4,2387.15,2662.4,2335.8714285714286,2285.9928571428572,2251.225,440.96452791687483,0,0,0,0,Winter,7,32,0,0
2015-02-03,2614.8,62,159,17.090196078431372,False,15.43,24.27,10.38,0.85,54.67,2.17,False,No Holiday,2015,2,3,1,6,1,34,0,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,33,2328.6,2528.05,2397.9,1755.45,2399.328571428571,2281.8107142857143,2240.0983333333334,394.7017965683534,0,0,0,0,Winter,8,31,0,0
2015-02-04,2233.9,57,138,16.54740740740741,False,14.15,23.5,7.65,0.27,62.64,2.21,False,No Holiday,2015,2,4,2,6,1,35,0,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,34,2614.8,2016.0,2040.55,2065.95,2411.721428571429,2297.3035714285716,2268.7433333333333,400.7328077588431,0,0,0,1,Winter,9,30,0,0
2015-02-05,2215.8,60,133,16.78636363636364,False,13.58,23.98,5.91,0.0,48.36,1.91,False,No Holiday,2015,2,5,3,6,1,36,0,0,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,35,2233.9,2045.3,2496.7,2428.95,2442.85,2311.1142857142854,2274.3416666666667,372.32664758246926,0,0,0,1,Winter,10,29,0,0
2015-02-06,2509.95,66,153,16.51282894736842,False,14.97,24.44,6.95,0.0,39.5,1.15,False,No Holiday,2015,2,6,4,6,1,37,0,0,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,36,2215.8,2270.3,2423.7,2202.2,2467.207142857143,2291.05,2267.236666666666,346.6784298027158,0,0,0,1,Winter,11,28,0,0
2015-02-07,2237.65,61,136,16.575185185185187,False,17.1,25.35,9.1,0.03,41.55,1.08,False,No Holiday,2015,2,7,5,6,1,38,1,0,0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,37,2509.95,2417.85,2289.25,2838.35,2501.4428571428575,2297.2107142857144,2277.495,335.6500017733899,0,0,0,0,Winter,12,27,0,0
2015-02-08,2035.0,53,124,16.68032786885246,False,17.33,25.63,12.02,0.0,44.16,1.52,False,No Holiday,2015,2,8,6,6,1,39,1,0,0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,38,2237.65,3189.2,1617.55,2127.35,2475.7000000000003,2293.525,2257.4716666666664,349.7440933501719,0,0,0,0,Winter,13,26,0,0
2015-02-09,2195.35,54,136,16.38320895522388,False,16.05,25.79,8.59,0.01,48.01,1.9,False,No Holiday,2015,2,9,0,7,1,40,0,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,39,2035.0,2328.6,1884.4,2463.95,2310.8142857142857,2323.342857142857,2254.3933333333334,195.25570139837583,0,0,0,0,Winter,14,25,0,0
2015-02-10,2056.5,59,124,16.85655737704918,False,15.44,25.09,7.93,0.0,41.84,1.99,False,No Holiday,2015,2,10,1,7,1,41,0,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,40,2195.35,2614.8,2528.05,1872.3,2291.7785714285715,2345.5535714285716,2245.44,199.67803012421265,0,0,0,0,Winter,15,24,0,0
2015-02-11,2460.0,69,155,16.18421052631579,False,15.63,24.56,8.34,0.0,39.12,1.56,False,No Holiday,2015,2,11,2,7,1,42,0,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,41,2056.5,2233.9,2016.0,1919.05,2212.0214285714287,2311.8714285714286,2251.58,155.83786675351368,0,0,0,0,Winter,16,23,0,0
2015-02-12,2158.8,58,130,16.998425196850395,False,15.05,25.11,7.0,0.0,38.18,1.69,False,No Holiday,2015,2,12,3,7,1,43,0,0,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,42,2460.0,2215.8,2045.3,2049.6,2244.3214285714284,2343.5857142857144,2269.611666666666,182.31123309957047,0,0,0,0,Winter,17,22,0,0
