date,total_sales,total_orders,total_items,average_order_value,temperature,max_temperature,min_temperature,rainfall,humidity,wind_speed,is_holiday,holiday_name
2015-01-01,2713.85,69,162,16.856211180124223,15.08,23.9,8.07,0.02,44.51,1.19,False,
2015-01-02,2731.9,67,165,17.074375,15.76,21.34,11.84,3.9,59.67,1.16,False,
2015-01-03,2662.4,66,158,17.28831168831169,14.41,20.72,8.65,10.12,76.62,0.96,False,
2015-01-04,1755.45,52,106,16.560849056603775,13.53,21.5,8.12,0.0,62.98,2.2,True,Prophet's Birthday
2015-01-05,2065.95,54,125,17.073966942148758,13.07,22.76,6.59,0.0,44.1,3.89,False,
2015-01-06,2428.95,64,147,16.867708333333333,13.18,22.39,6.79,0.0,53.13,2.32,False,
2015-01-07,2202.2,58,138,16.557894736842105,12.44,21.21,6.26,0.0,55.87,1.84,False,
2015-01-08,2838.35,72,173,16.598538011695904,12.37,21.56,5.4,0.0,46.51,2.06,False,
2015-01-09,2127.35,62,127,17.29552845528455,11.7,21.14,4.16,0.0,39.9,1.62,False,
2015-01-10,2463.95,65,146,16.992758620689653,11.06,21.41,3.7,0.0,39.1,2.1,False,
2015-01-11,1872.3,52,116,16.423684210526314,12.12,23.24,4.05,0.0,36.93,2.0,False,
2015-01-12,1919.05,55,119,16.263135593220337,12.38,23.75,4.22,0.0,36.56,1.4,False,
2015-01-13,2049.6,48,120,17.517948717948716,12.19,21.66,5.77,0.0,39.03,1.74,False,
2015-01-14,2527.4,62,150,17.55138888888889,11.4,18.59,6.95,1.91,54.93,1.63,False,
2015-01-15,1984.8,62,123,16.13658536585366,11.22,19.55,4.48,0.0,67.56,1.52,False,
2015-01-16,2594.15,67,158,16.736451612903227,12.44,21.28,5.15,0.0,63.7,1.4,False,
2015-01-17,2064.1,55,125,16.918852459016392,13.65,23.07,6.67,0.0,55.9,1.98,False,
2015-01-18,1976.85,51,122,16.61218487394958,13.31,22.65,5.81,0.0,49.93,1.91,False,
2015-01-19,2387.15,56,142,17.173741007194245,13.0,22.19,5.4,0.0,43.43,1.53,False,
2015-01-20,2397.9,64,143,17.25107913669065,12.11,20.73,6.31,0.0,41.27,1.12,False,
2015-01-21,2040.55,51,129,16.06732283464567,13.27,20.75,6.57,3.16,42.38,1.51,False,
2015-01-22,2496.7,68,158,16.10774193548387,12.51,17.75,8.77,8.36,77.98,1.5,False,
2015-01-23,2423.7,69,152,16.26644295302013,13.19,21.22,8.02,2.56,76.24,1.13,False,
2015-01-24,2289.25,63,142,16.121478873239436,13.47,21.91,7.21,0.0,65.8,1.64,False,
2015-01-25,1617.55,44,102,16.015346534653464,12.68,21.4,5.71,0.0,45.88,1.58,False,
2015-01-26,1884.4,55,113,16.676106194690266,12.54,18.94,8.32,3.26,62.71,0.82,True,Republic Day
2015-01-27,2528.05,66,151,16.966778523489936,12.2,20.24,6.68,0.0,61.75,1.95,False,
2015-01-28,2016.0,51,118,17.379310344827587,10.65,19.39,3.91,0.0,49.46,1.93,False,
2015-01-29,2045.3,58,119,17.785217391304347,10.4,19.48,3.25,0.0,42.55,2.14,False,
2015-01-30,2270.3,65,138,16.45144927536232,11.27,20.93,3.67,0.0,39.83,2.63,False,
2015-01-31,2417.85,54,145,16.908041958041956,13.16,23.44,4.93,0.0,36.8,2.32,False,
2015-02-01,3189.2,87,191,16.96382978723404,15.43,22.99,8.46,0.0,36.56,1.26,False,
2015-02-02,2328.6,63,145,16.283916083916083,15.79,24.64,8.41,0.0,42.78,1.96,False,
2015-02-03,2614.8,62,159,17.090196078431372,15.43,24.27,10.38,0.85,54.67,2.17,False,
2015-02-04,2233.9,57,138,16.54740740740741,14.15,23.5,7.65,0.27,62.64,2.21,False,
2015-02-05,2215.8,60,133,16.78636363636364,13.58,23.98,5.91,0.0,48.36,1.91,False,
2015-02-06,2509.95,66,153,16.51282894736842,14.97,24.44,6.95,0.0,39.5,1.15,False,
2015-02-07,2237.65,61,136,16.575185185185187,17.1,25.35,9.1,0.03,41.55,1.08,False,
2015-02-08,2035.0,53,124,16.68032786885246,17.33,25.63,12.02,0.0,44.16,1.52,False,
2015-02-09,2195.35,54,136,16.38320895522388,16.05,25.79,8.59,0.01,48.01,1.9,False,
2015-02-10,2056.5,59,124,16.85655737704918,15.44,25.09,7.93,0.0,41.84,1.99,False,
2015-02-11,2460.0,69,155,16.18421052631579,15.63,24.56,8.34,0.0,39.12,1.56,False,
2015-02-12,2158.8,58,130,16.998425196850395,15.05,25.11,7.0,0.0,38.18,1.69,False,
2015-02-13,2754.5,71,163,17.215625,16.75,26.8,7.21,0.0,31.5,2.19,False,
2015-02-14,2319.15,57,140,16.928102189781022,19.76,30.06,11.01,0.0,36.06,1.25,False,
2015-02-15,2141.25,55,128,16.728515625,20.34,28.85,12.35,0.0,36.57,1.14,False,
2015-02-16,1968.8,49,119,16.684745762711863,19.54,27.8,13.21,0.0,38.14,1.74,False,
2015-02-17,2121.9,61,129,16.57734375,19.98,28.07,11.5,0.0,44.14,0.99,False,
2015-02-18,2642.85,61,163,16.517812499999998,20.9,28.6,13.3,0.0,40.01,0.91,False,
2015-02-19,2030.25,56,123,16.641393442622952,21.93,29.97,14.03,0.02,38.16,1.45,False,
2015-02-20,2891.15,73,175,17.107396449704144,21.72,30.86,14.05,1.76,41.7,1.29,False,
2015-02-21,2111.0,56,127,17.024193548387096,21.76,30.78,14.16,0.0,38.26,2.36,False,
2015-02-22,1579.95,37,97,16.988709677419354,21.92,31.7,14.33,0.0,43.13,2.93,False,
2015-02-23,2168.55,54,128,17.3484,21.29,27.64,14.98,0.0,41.13,1.33,False,
2015-02-24,2194.55,58,134,16.625378787878788,21.94,28.3,16.64,0.0,37.87,1.17,False,
2015-02-25,2341.3,63,144,16.604964539007092,21.87,30.09,14.51,0.47,36.4,2.25,False,
2015-02-26,2261.3,55,140,16.627205882352943,16.34,25.86,8.98,1.62,28.45,1.66,False,
2015-02-27,2857.95,71,173,16.71315789473684,16.5,27.23,7.74,0.1,26.4,1.47,False,
2015-02-28,2539.6,59,154,16.598692810457514,18.08,27.38,8.95,0.09,31.21,1.39,False,
2015-03-01,1598.55,49,99,16.146969696969695,16.35,19.81,13.44,27.24,83.57,4.11,False,
2015-03-02,2379.05,58,139,17.23949275362319,16.85,21.18,12.51,26.81,83.9,2.57,False,
2015-03-03,2287.9,53,137,17.202255639097746,16.16,23.5,10.93,1.41,64.28,1.47,False,
2015-03-04,2444.3,59,147,16.974305555555556,15.82,24.18,8.66,0.0,48.97,1.97,False,
2015-03-05,2350.65,64,142,16.790357142857143,17.74,26.78,10.2,0.0,40.01,1.41,False,
2015-03-06,2513.95,66,152,17.33758620689655,18.46,27.67,10.7,0.01,48.8,1.67,True,Holi
2015-03-07,2400.45,58,144,17.269424460431654,20.17,28.18,12.13,0.81,49.87,1.28,False,
2015-03-08,2188.15,62,135,16.57689393939394,20.16,26.73,14.17,4.41,54.08,1.61,False,
2015-03-09,2334.55,56,138,17.165808823529414,16.15,25.17,9.29,2.32,47.22,2.41,False,
2015-03-10,2388.7,59,144,16.82183098591549,16.54,26.43,8.3,0.0,47.63,2.32,False,
2015-03-11,2207.7,62,134,16.724999999999998,18.59,28.65,9.57,0.0,36.23,1.79,False,
2015-03-12,1994.9,51,119,17.34695652173913,21.21,30.79,12.83,0.0,38.12,1.74,False,
2015-03-13,2786.65,71,176,16.107803468208093,21.59,28.81,15.22,0.23,49.15,1.22,False,
2015-03-14,2039.45,56,123,16.716803278688523,22.21,29.03,16.75,0.31,54.78,1.18,False,
2015-03-15,2068.6,49,131,16.682258064516127,18.91,24.5,15.03,6.41,72.64,3.31,False,
2015-03-16,2295.05,66,141,16.393214285714286,19.28,25.17,14.33,5.65,72.76,1.84,False,
2015-03-17,2965.3,71,179,16.848295454545454,20.14,27.8,12.82,0.0,58.38,2.51,False,
2015-03-18,2075.4,62,123,17.440336134453784,19.76,28.07,12.24,0.0,53.11,2.96,False,
2015-03-19,2388.6,58,144,16.703496503496503,20.42,29.55,11.32,0.0,43.09,1.85,False,
2015-03-20,2461.25,66,149,16.63006756756757,22.34,31.7,14.21,0.0,36.16,1.74,False,
2015-03-21,2267.4,56,136,16.92089552238806,23.63,32.78,15.89,0.0,38.75,1.78,False,
2015-03-22,1259.25,37,77,16.56907894736842,24.59,33.92,16.08,0.0,44.46,2.53,False,
2015-03-23,2232.55,61,135,17.04236641221374,25.01,34.34,17.84,0.0,42.03,2.26,False,
2015-03-24,2162.3,60,130,16.89296875,27.15,36.03,16.88,0.0,29.79,1.17,False,
2015-03-25,1927.75,56,115,16.76304347826087,27.91,36.34,21.63,0.0,30.21,0.9,False,
2015-03-26,2215.5,65,136,16.290441176470587,27.71,36.73,19.31,0.0,36.78,1.27,False,
2015-03-27,2744.8,71,167,16.435928143712577,27.68,36.88,20.55,0.0,35.96,1.93,False,
