,total_sales
total_sales,1.0
total_items,0.9962960770740972
total_orders,0.9309269213861732
average_order_value,0.6255272487301939
lag_7,0.3434403610945532
lag_14,0.2782872258034982
lag_1,0.18547739797916166
month_sin,0.08745480048897204
days_after_holiday,0.07419152797372991
is_month_start,0.07206882342783187
rolling_mean_7,0.06591363579255446
rolling_mean_14,0.06236092344430585
is_month_end,0.05174085978077226
weekday,0.049039286019390456
is_hot,0.04380620027508439
rolling_mean_30,0.038457356721453034
min_temperature,0.032534388097726887
temperature,0.032285412301145365
max_temperature,0.02363271046861679
humidity,0.011146651672740994
wind_speed,-0.016537603770532695
is_festival_week,-0.019898107218631115
rainfall,-0.02057235641219054
heavy_rain,-0.022432177356922215
is_rain,-0.033101154543843485
weekday_sin,-0.03462290440426156
weekend_after_holiday,-0.045335183931974304
month_cos,-0.07389362438187437
is_cold,-0.07402436752013429
is_holiday,-0.07596475134860725
rolling_std_7,-0.08210104427108914
lag_30,-0.09635665769203869
quarter,-0.09953034930148776
month,-0.11018808775604737
is_weekend,-0.11831509391289342
day,-0.11922287374878651
time_index,-0.12047541760216468
day_of_year,-0.12047541760216468
week,-0.12144518838084965
days_before_holiday,-0.1231463283097414
weekday_cos,-0.33236304434313235
year,
